File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,PRE_BUG,POST_BUG
src/main/org/apache/tools/ant/util/regexp/JakartaRegexpRegexp.java,3,0,0,5,16,3,0,5,2,1.5,96,1,0,0,0.666666667,0,0,30.66666667,1,2,0,0,0,0,0,0,0,0,0,432.57,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/types/resources/Resources.java,17,0,0,18,53,102,12,8,8,0.84375,270,0.5,1,0,0.1875,0,0,14.52941176,1.764705882,6,49,19,17,8,16,3.85,7,66,25,62.28,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/TypeAdapter.java,5,1,0,7,5,10,6,1,5,2,5,0,0,0,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,345.57,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Submit.java,7,0,0,4,14,15,1,4,5,0.833333333,57,0.666666667,0,0,0.476190476,0,0,6.714285714,0.857142857,1,2,2,1,1,50,50,1,3,3,-51.42,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/XSLTLoggerAware.java,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,426.42,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/condition/IsSigned.java,6,0,0,7,30,11,2,5,5,1.04,246,1,0,0,0.5,0,0,39.16666667,1.833333333,4,18,18,0,0,2,2,1,18,18,72.42,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Base.java,15,0,15,27,42,57,17,11,13,0.818181818,331,1,0,0,0.45,0,0,20.33333333,1.133333333,4,0,0,0,0,0,0,0,0,0,479.85,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/CopyPath.java,11,0,0,9,37,29,0,9,9,0.888888889,269,0.666666667,3,0,0.228571429,0,0,22.63636364,1,2,9,9,1,1,1,1,1,10,10,67.57,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/GUnzip.java,5,0,0,5,27,10,0,5,1,1.166666667,138,0.666666667,0,0,0.5,0,0,26,1.4,3,0,0,0,0,0,0,0,0,0,506.71,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/Move.java,9,0,0,10,67,22,1,9,1,2,830,0,0,0,0.703703704,0,0,91.22222222,4.333333333,18,18,14,3,1,4,2.5,4,21,15,-10.42,1,FALSE,FALSE,TRUE
src/main/org/apache/tools/ant/taskdefs/condition/Equals.java,10,1,0,3,16,29,1,2,8,0.722222222,167,1,0,0,0.45,0,0,15.1,1.1,2,19,19,2,2,1,1,1,21,21,-2.42,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ccm/CCMCheckin.java,1,0,0,1,9,0,0,1,1,2,19,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,445.42,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/FixCRLF.java,21,0,0,15,72,54,1,14,16,0.854545455,539,0.909090909,2,0,0.194444444,0,0,24.14285714,1,3,11,7,5,4,1,1,2,16,11,66,1,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/Recorder.java,20,0,0,9,54,160,0,9,17,0.859649123,235,1,0,0,0.263157895,0,0,10.45,1.1,2,29,13,19,12,59,27,4,48,25,29.85,1,FALSE,FALSE,TRUE
src/main/org/apache/tools/ant/filters/TokenFilter.java,19,0,0,19,40,23,5,17,19,0.688888889,317,1,1,0,0.119298246,0,0,15.42105263,1.210526316,6,2,2,17,17,7,7,1,19,19,-27.14,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ejb/EJBDeploymentTool.java,4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,496.71,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Add.java,6,0,0,7,28,0,0,7,5,0.76,198,1,0,0,0.416666667,0,0,31.16666667,0.833333333,1,2,2,1,1,50,50,1,3,3,-51.42,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/filters/UniqFilter.java,2,0,0,1,4,0,0,1,2,0,24,1,0,0,0.75,0,0,10.5,1.5,3,78,69,41,38,1,1,3,119,69,23.71,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sos/SOSCheckout.java,4,0,0,3,14,6,0,3,3,2,68,0,0,0,0.5,0,0,16,1,2,0,0,0,0,0,0,0,0,0,418.57,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/extension/resolvers/LocationResolver.java,4,1,0,5,10,0,1,4,4,0.333333333,40,1,0,0,0.4375,0,0,8.75,0.75,1,0,0,0,0,0,0,0,0,0,405.85,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/compilers/Gcj.java,5,0,0,8,36,6,1,7,3,0.5,261,1,0,0,1,0,0,51,4.2,15,10,10,0,0,2,2,1,10,10,53.57,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/TempFile.java,11,0,0,5,20,27,1,4,10,0.842857143,102,1,1,0,0.4,0,0,7.636363636,0.818181818,1,0,0,0,0,0,0,0,0,0,406.28,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/extension/ExtensionUtil.java,7,1,0,12,46,21,4,8,0,2,269,0,0,0,0.30952381,0,0,37.42857143,2,9,0,0,0,0,0,0,0,0,0,406,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/types/resources/First.java,2,0,0,2,10,1,0,2,1,2,34,0,0,0,1,0,0,16,1.5,3,0,0,0,0,0,0,0,0,0,235.42,0,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/property/GetProperty.java,1,1,0,4,1,0,4,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,124,0,FALSE,FALSE,FALSE
