File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,PRE_BUG,POST_BUG
src/main/org/apache/tools/ant/util/regexp/JakartaRegexpRegexp.java,3,0,0,5,16,3,0,5,2,2,95,0,0,0,0.666666667,0,0,30.66666667,1.333333333,2,9,6,7,5,757,255.33,3,16,11,15.57,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/types/resources/Resources.java,13,3,0,16,48,56,10,8,6,0.8,243,0.4,1,0.731707317,0.208333333,1,3,17.30769231,2.230769231,6,125,44,70,26,757,73.9,11,195,60,64.85,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/TypeAdapter.java,5,1,0,7,5,10,6,1,5,2,5,0,0,0,0.4,0,0,0,1,1,6,6,5,5,757,757,1,11,11,15.57,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Submit.java,7,0,0,4,14,15,1,4,5,0.833333333,57,0.666666667,0,0,0.476190476,0,0,6.714285714,1,1,13,7,6,5,757,384,2,19,11,15.57,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/XSLTLoggerAware.java,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,6,6,5,5,757,757,1,11,11,15.57,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/condition/IsSigned.java,5,3,0,7,26,6,2,5,5,1.05,203,1,0,0.882352941,0.533333333,0,0,38.6,1.8,5,24,10,28,11,757,167.4,5,52,19,46.85,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Base.java,15,3,15,27,41,57,17,11,13,0.818181818,322,1,0,0.725490196,0.45,0,0,19.73333333,1.2,4,39,24,26,19,757,155,5,65,43,15.57,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/CopyPath.java,11,3,0,9,37,29,0,9,9,0.888888889,265,0.666666667,3,0.804347826,0.228571429,3,3,22.27272727,1.181818182,2,90,37,71,41,757,127.14,7,161,78,65.57,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/GUnzip.java,5,4,0,5,27,10,0,5,1,1.125,137,0.5,0,0.924528302,0.5,3,5,26,1.6,3,27,18,11,5,757,197.75,4,38,21,59.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/Move.java,9,4,0,10,64,22,1,9,1,2,810,0,0,0.912087912,0.703703704,4,11,89,4.444444444,18,79,45,114,88,757,128.5,6,193,133,31.57,3,TRUE,FALSE,TRUE
src/main/org/apache/tools/ant/taskdefs/condition/Equals.java,6,1,0,3,11,1,1,2,6,0.7,74,1,0,0,0.555555556,0,0,10.66666667,1,1,75,37,31,12,757,156.2,5,106,49,15.57,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ccm/CCMCheckin.java,1,0,0,1,9,0,0,1,1,2,19,0,0,0,1,0,0,18,1,1,6,6,5,5,757,757,1,11,11,15.57,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/FixCRLF.java,21,4,0,15,71,54,1,14,16,0.835,458,0.9,2,0.804123711,0.194444444,2,2,20.33333333,1.095238095,3,133,44,55,19,757,67.64,14,188,47,76.85,6,FALSE,TRUE,TRUE
src/main/org/apache/tools/ant/taskdefs/Recorder.java,20,3,0,9,46,160,0,9,17,0.859649123,207,1,0,0.672727273,0.263157895,1,1,9.05,1.15,2,20,10,39,24,757,205,4,59,27,15.57,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/filters/TokenFilter.java,19,4,0,19,40,23,5,17,19,0.688888889,317,1,1,0.604651163,0.119298246,2,4,15.42105263,1.315789474,6,23,11,191,182,757,190.75,4,214,193,15.57,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ejb/EJBDeploymentTool.java,4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.4,0,0,0,1,1,13,6,6,5,757,267.33,3,19,11,15.57,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Add.java,6,0,0,7,28,0,0,7,5,0.76,198,1,0,0,0.416666667,0,0,31.16666667,1,1,6,6,5,5,757,757,1,11,11,15.57,1,FALSE,FALSE,FALSE
