File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,PRE_BUG,POST_BUG
src/main/org/apache/tools/ant/util/regexp/JakartaRegexpRegexp.java,3,0,0,5,16,3,0,5,2,2,95,0,0,0,0.666666667,0,0,30.66666667,1.333333333,2,33.00,15,56.00,49,896,631.50,6,89.00,61,21.71,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/ClassPathLoader.java,8,1,0,8,43,16,4,5,6,0.785714286,208,0.5,1,0,0.238095238,0,0,24.75,1.25,2,37.00,16,61.00,49,896,465.00,8,98.00,61,21.71,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/metamata/MMetricsStreamHandler.java,12,1,0,7,56,42,1,6,5,0.909090909,435,1,2,0,0.303030303,0,0,34.41666667,1.833333333,8,20.00,12,56.00,49,896,620.16,6,76.00,61,22.00,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/TypeAdapter.java,5,1,0,7,5,10,6,1,5,2,5,0,0,0,0.4,0,0,0,1,1,134.00,99,69.00,49,896,407.11,9,203.00,99,25.00,3,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Submit.java,3,0,0,4,10,1,1,4,3,0.5,37,0,0,0,0.666666667,0,0,11,1,1,76.00,32,67.00,49,896,450.00,8,143.00,61,22.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/Utils.java,22,1,0,6,41,231,3,3,21,1.047619048,517,0,0,0,0.227272727,0,0,21.90909091,2.909090909,9,109.00,89,132.00,75,896,530.71,7,241.00,164,36.85,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/XSLTLoggerAware.java,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,21.00,12,53.00,49,886,664.75,4,74.00,61,-6.71,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ide/VAJAntTool.java,4,1,0,7,26,6,1,7,4,1.333333333,125,1,0,0,0.25,0,0,30,1.75,3,18.00,12,56.00,49,896,594.50,6,74.00,61,22.42,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Base.java,15,3,15,32,41,57,21,12,13,0.818181818,319,1,0,0.725490196,0.45,0,0,19.53333333,1.2,4,115.00,52,66.00,49,896,510.71,7,181.00,62,22.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/GUnzip.java,3,4,0,4,21,3,0,4,1,1.5,144,1,0,0.960784314,1,2,3,46.66666667,3.666666667,9,36.00,12,80.00,49,896,541.14,7,116.00,61,21.71,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/Move.java,7,4,0,10,50,21,1,9,1,2,686,0,0,0.93258427,0.714285714,4,4,97,5.571428571,21,356.00,120,298.00,77,896,247.47,17,654.00,189,30.42,6,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/condition/Equals.java,6,1,0,3,11,1,1,2,6,0.7,74,1,0,0,0.555555556,0,0,10.66666667,1,1,38.00,20,62.00,49,896,490.87,8,100.00,61,21.71,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ccm/CCMCheckin.java,1,0,0,2,9,0,0,2,1,2,19,0,0,0,1,0,0,18,1,1,18.00,12,53.00,49,896,713.80,5,71.00,61,23.57,3,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/FixCRLF.java,18,4,0,12,84,83,1,12,11,0.960151803,1202,1,1,0.821052632,0.181818182,2,2,64.05555556,2.111111111,8,211.00,76,653.00,493,896,184.75,24,864.00,569,36.85,7,FALSE,TRUE,TRUE
src/main/org/apache/tools/ant/taskdefs/Recorder.java,9,3,0,9,34,10,0,9,7,0.729166667,214,1,0,0.840909091,0.3125,1,1,22.11111111,1.666666667,6,160.00,99,89.00,49,896,356.80,10,249.00,101,-6.71,3,FALSE,FALSE,TRUE
src/main/org/apache/tools/ant/filters/TokenFilter.java,19,4,0,18,40,23,6,16,19,0.688888889,386,1,1,0.604651163,0.119298246,2,4,19.05263158,1.842105263,11,1313.00,918,419.00,154,896,195.63,19,1732.00,918,35.42,6,TRUE,TRUE,TRUE
src/main/org/apache/tools/ant/taskdefs/optional/ejb/EJBDeploymentTool.java,4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.4,0,0,0,1,1,20.00,12,57.00,49,886,668.25,4,77.00,61,22.00,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Add.java,6,0,0,10,28,0,0,10,5,0.76,198,1,0,0,0.416666667,0,0,31.16666667,1,1,51.00,25,76.00,49,896,513.14,7,127.00,61,36.85,4,FALSE,TRUE,FALSE
