File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,PRE_BUG,POST_BUG
src/main/org/apache/tools/ant/util/regexp/JakartaRegexpRegexp.java,3,0,0,5,16,3,0,5,2,2,95,0,0,0,0.666666667,0,0,30.66666667,1.333333333,2,3,2,3,2,757,536.5,2,6,4,-1.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/ClassPathLoader.java,8,1,0,8,43,16,4,5,6,0.785714286,208,0.5,1,0,0.238095238,0,0,24.75,1.25,2,1,1,1,1,757,757,1,2,2,-30,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/metamata/MMetricsStreamHandler.java,12,1,0,7,56,42,1,6,5,0.909090909,433,1,2,0,0.303030303,0,0,34.25,1.833333333,8,4,3,6,5,757,536.5,2,10,8,-1.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Submit.java,3,0,0,4,10,1,1,4,3,0.5,36,0,0,0,0.666666667,0,0,10.66666667,1,1,48,40,11,7,757,188.6,5,59,47,0.85,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/Utils.java,22,1,0,6,41,231,3,3,21,1.047619048,515,0,0,0,0.227272727,0,0,21.81818182,2.909090909,9,1,1,2,1,757,536.5,2,3,2,-1.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/XSLTLoggerAware.java,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,1,1,1,1,757,757,1,2,2,-30,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ide/VAJAntTool.java,4,1,0,7,26,6,1,7,4,1.333333333,123,1,0,0,0.25,0,0,29.5,1.75,3,1,1,2,1,757,536.5,2,3,2,-1.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Base.java,10,3,11,26,34,21,15,12,8,0.790123457,277,1,0,0.804347826,0.475,0,0,25.8,1.3,4,43,23,19,12,757,194,7,62,24,0.85,5,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/GUnzip.java,3,4,0,4,20,3,0,4,1,1.5,124,1,0,0.960784314,1,2,3,40,3.333333333,8,5,1,6,2,757,281.2,5,11,3,-1.14,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/Move.java,5,4,0,12,46,10,1,11,1,2,587,0,0,0.954022989,0.6,4,6,116.4,6,18,36,18,32,15,757,196.62,8,68,33,6.28,3,FALSE,FALSE,FALSE
